"date","state","city","address","num_killed","num_injured","lat","long","num_casualties"
"November 25, 2018","California","Oakland","1000 block of 24th St",0,4,37.8043637,-122.2711137,4
"November 23, 2018","Florida","Miami","5801 NW 27th Ave",2,5,25.7616798,-80.1917902,7
"November 22, 2018","Indiana","Fort Wayne","6100 block of Downingtown Dr",3,2,41.079273,-85.1393513,5
"November 21, 2018","Missouri","Saint Louis","4200 block of Shreve Ave",0,4,38.6270025,-90.1994042,4
"November 19, 2018","Pennsylvania","Philadelphia","5100 block of Malcolm St",4,0,39.9525839,-75.1652215,4
"November 19, 2018","Colorado","Denver","1200 21st Street",1,4,39.7392358,-104.990251,5
"November 18, 2018","California","Los Angeles (Watts)","95th St and Defiance Ave",1,4,33.9386361,-118.2380432,5
"November 16, 2018","Arkansas","Little Rock","4405  W 14th St",3,1,34.7464809,-92.2895948,4
"November 14, 2018","Louisiana","Baton Rouge","4800 block of Gus Young Ave",3,1,30.4514677,-91.1871466,4
"November 13, 2018","New Mexico","Gallup","CR 1 and Defiance Draw Rd",4,1,35.5280783,-108.7425843,5
"November 13, 2018","Indiana","Indianapolis","2007 Blue Pine Ln",2,2,39.768403,-86.158068,4
"November 12, 2018","North Carolina","Dunn","4640 Woods Crossroads Rd",3,1,35.3062743,-78.6089028,4
"November 11, 2018","Arizona","Globe","598 N Broad St",3,1,33.3942223,-110.7864984,4
"November 7, 2018","California","Thousand Oaks","99 Rolling Oaks Dr",13,2,34.1705609,-118.8375937,15
"November 3, 2018","New York","Watertown","136 Franklin St",0,5,43.9747838,-75.9107565,5
"November 2, 2018","California","Long Beach (North Long Beach)","5800 block of Brayton Ave",0,4,33.8640647,-118.1766294,4
"November 2, 2018","Florida","Tallahassee","1950 Thomasville Rd",3,5,30.4382559,-84.2807329,8
"November 1, 2018","Minnesota","Minneapolis","3400 block of Girard Ave N",0,5,44.977753,-93.2650108,5
"November 1, 2018","Missouri","Springfield","906 E Locust St",2,2,37.2089572,-93.2922989,4
"October 31, 2018","Michigan","Detroit","19000 block of Langholm St",1,3,42.331427,-83.0457538,4
"October 30, 2018","California","Vallejo","Woodrow Ave and Reis Ave",2,3,38.1040864,-122.2566367,5
"October 30, 2018","California","Los Angeles","65th Place and Vermont Avenue",0,5,34.0522342,-118.2436849,5
"October 29, 2018","California","Riverside","3252 Mission Inn Ave",0,7,33.9806005,-117.3754942,7
"October 28, 2018","Arkansas","El Dorado","2 Whites Quarters",2,2,33.20763,-92.6662674,4
"October 27, 2018","Tennessee","Memphis","4275 Ladyslipper",0,5,35.1495343,-90.0489801,5
"October 27, 2018","Pennsylvania","Pittsburgh","5898 Wilkins Ave",11,7,40.4406248,-79.9958864,18
"October 26, 2018","New Jersey","Jersey City","77 Brinkerhoff St",1,3,40.7177545,-74.0431435,4
"October 24, 2018","Illinois","Chicago","6200 block of S King Dr",0,5,41.8781136,-87.6297982,5
"October 22, 2018","Illinois","Chicago","9231 S Cottage Grove Av",0,6,41.8781136,-87.6297982,6
"October 21, 2018","Florida","Jacksonville","900 block of A Philip Randolph Blvd",1,5,30.3321838,-81.655651,6
"October 21, 2018","Washington","Lakewood","8722 S Tacoma Way",1,3,47.1717649,-122.518458,4
"October 16, 2018","Georgia","Atlanta","Broad St",0,4,33.7489954,-84.3879824,4
"October 15, 2018","Tennessee","Columbia","1075 Carters Creek Pike",5,0,35.6150716,-87.0352831,5
"October 14, 2018","Nevada","Las Vegas","2815 W Lake Mead Blvd",3,1,36.1699412,-115.1398296,4
"October 14, 2018","Texas","Fort Worth","5310 E Rosedale St",0,4,32.7554883,-97.3307658,4
"October 14, 2018","California","Palo Alto (East Palo Alto)","2500 block of Pulgas Ave",2,2,37.4688273,-122.1410751,4
